what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1349029392113
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1349029392633
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1349029392646
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1349029392857
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1349029393003
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1349029393462
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1349029393468
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1349029393533
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1349029393695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029403492
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349029422060
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349029422094
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1349029422187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029436808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.showKeyAssist",1349029436847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029438337
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1349029446237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029447707
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1349029452691
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1349029452731
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1349029454425
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1349029454462
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1349029454539
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1349029454571
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1349029454578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029482388
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1349029482427
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1349029489154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029489564
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1349029495321
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1349029496282
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1349029496288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029510032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029515180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029561377
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1349029574231
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1349029574302
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1349029576816
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1349029577521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029594792
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1349029624420
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1349029624545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029683083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029683123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029691936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029721219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029721550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029737926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029747644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029747766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029753775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029763304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349029765332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349030076240
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1349030076349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349030086437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349030090853
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349030091018
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1349030092514
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1349030092644
stopped,bundle,org.jboss.ide.eclipse.firstrun,1.5.1.GA,"org.jboss.ide.eclipse.firstrun",1349030093990
stopped,bundle,org.jboss.ide.eclipse.packaging.ui,1.5.1.GA,"org.jboss.ide.eclipse.packaging.ui",1349030093990
stopped,bundle,org.jboss.ide.eclipse.xdoclet.run,1.5.1.GA,"org.jboss.ide.eclipse.xdoclet.run",1349030093991
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1349030093991
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1349030093991
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1349030093991
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1349030093991
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1349030093993
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.1.v201111031820-219398,"overlay.com.android.ide.eclipse.adt.overlay",1349030093993
stopped,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1349030094011
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1349030094011
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1349030094012
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1349030094012
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1349030094012
stopped,bundle,org.jboss.ide.eclipse.jdt.aop.ui,1.1.1.GA,"org.jboss.ide.eclipse.jdt.aop.ui",1349030094013
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.jsp.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.j2ee.jsp.ui",1349030094013
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.xml.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.j2ee.xml.ui",1349030094013
stopped,bundle,org.jboss.ide.eclipse.launcher.ui,1.5.1.GA,"org.jboss.ide.eclipse.launcher.ui",1349030094013
stopped,bundle,org.jbpm.ui,3.0.8.1,"org.jbpm.ui",1349030094013
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1349030094013
stopped,bundle,org.eclipse.jst.jsp.ui,1.0.0,"org.eclipse.jst.jsp.ui",1349030094013
stopped,bundle,org.hibernate.eclipse.console,3.1.0.beta4a,"org.hibernate.eclipse.console",1349030094013
stopped,bundle,org.jboss.ide.eclipse.deployer.ui,1.5.1.GA,"org.jboss.ide.eclipse.deployer.ui",1349030094014
stopped,bundle,org.jboss.ide.eclipse.ejb3.wizards.core,1.0.1.GA,"org.jboss.ide.eclipse.ejb3.wizards.core",1349030094014
stopped,bundle,org.jboss.ide.eclipse.jdt.aop.core,1.1.1.GA,"org.jboss.ide.eclipse.jdt.aop.core",1349030094014
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.jsp.core,1.5.1.GA,"org.jboss.ide.eclipse.jdt.j2ee.jsp.core",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.j2ee.ui",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.core,1.5.1.GA,"org.jboss.ide.eclipse.jdt.j2ee.core",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.test.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.test.ui",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.ws.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.ws.ui",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.ws.core,1.5.1.GA,"org.jboss.ide.eclipse.jdt.ws.core",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.test.core,1.5.1.GA,"org.jboss.ide.eclipse.jdt.test.core",1349030094015
stopped,bundle,org.jboss.ide.eclipse.jdt.ui,1.5.1.GA,"org.jboss.ide.eclipse.jdt.ui",1349030094044
stopped,bundle,org.jboss.ide.eclipse.jdt.core,1.5.1.GA,"org.jboss.ide.eclipse.jdt.core",1349030094044
stopped,bundle,org.jboss.ide.eclipse.xdoclet.assist,1.5.1.GA,"org.jboss.ide.eclipse.xdoclet.assist",1349030094044
stopped,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1349030094044
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1349030094111
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1349030094111
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1349030094111
stopped,bundle,org.eclipse.wst.html.ui,1.0.0,"org.eclipse.wst.html.ui",1349030094111
stopped,bundle,org.eclipse.wst.css.ui,1.0.0,"org.eclipse.wst.css.ui",1349030094111
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1349030094111
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.0,"org.eclipse.wst.javascript.ui",1349030094112
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1349030094112
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1349030094112
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1349030094201
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1349030094201
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1349030094202
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1349030094202
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1349030094202
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1349030094231
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1349030094275
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1349030094276
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1349030094276
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1349030094276
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1349030094276
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1349030094276
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1349030094277
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1349030094277
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1349030094278
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1349030094278
stopped,bundle,org.jboss.ide.eclipse.deployer.core,1.5.1.GA,"org.jboss.ide.eclipse.deployer.core",1349030094278
stopped,bundle,org.jboss.ide.eclipse.launcher.core,1.5.1.GA,"org.jboss.ide.eclipse.launcher.core",1349030094278
stopped,bundle,org.jboss.ide.eclipse.packaging.core,1.5.1.GA,"org.jboss.ide.eclipse.packaging.core",1349030094278
stopped,bundle,org.jboss.ide.eclipse.xdoclet.core,1.5.1.GA,"org.jboss.ide.eclipse.xdoclet.core",1349030094278
stopped,bundle,org.jboss.ide.eclipse.xdoclet.ui,1.5.1.GA,"org.jboss.ide.eclipse.xdoclet.ui",1349030094279
stopped,bundle,org.jboss.ide.eclipse.ui,1.5.1.GA,"org.jboss.ide.eclipse.ui",1349030094279
stopped,bundle,org.jboss.ide.eclipse.core,1.5.1.GA,"org.jboss.ide.eclipse.core",1349030094279
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1349030094279
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1349030094279
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,15.0.1.v201111031820-219398,"com.android.ide.eclipse.hierarchyviewer",1349030094279
stopped,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1349030094282
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1349030094282
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1349030094282
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1349030094282
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1349030094283
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1349030094284
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1349030094284
stopped,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1349030094284
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1349030094284
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1349030094284
stopped,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1349030094284
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1349030094395
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1349030094395
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1349030153035
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1349030153037
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1349030153056
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1349030153057
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1349030153057
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1349030153058
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1349030153058
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1349030153058
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1349030153059
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1349030153059
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1349030153059
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1349030153059
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1349030153060
